Wegmans Park-Point-N Barnes-n-Noble Park-Point-S Gleason-Circle
6:40:00 7:06:00 7:07:00 7:09:00 7:16:00
7:41:00 8:07:00 8:08:00 8:10:00 8:17:00
8:42:00 9:08:00 9:09:00 9:11:00 9:18:00
9:43:00 10:09:00 10:10:00 10:12:00 10:19:00
10:44:00 11:10:00 11:11:00 11:13:00 11:20:00
11:45:00 12:11:00 12:12:00 12:14:00 12:21:00
12:46:00 13:12:00 13:13:00 13:15:00 13:22:00
13:47:00 14:13:00 14:14:00 14:16:00 14:23:00
14:48:00 15:14:00 15:15:00 15:17:00 15:24:00
15:49:00 16:15:00 16:16:00 16:18:00 16:25:00
16:50:00 17:16:00 17:17:00 17:19:00 17:26:00
17:51:00 18:17:00 18:18:00 18:20:00 18:27:00
18:52:00 19:18:00 19:19:00 19:21:00 19:28:00
19:53:00 20:19:00 20:20:00 20:22:00 20:29:00
20:54:00 21:20:00 21:21:00 21:23:00 21:30:00
21:55:00 22:21:00 22:22:00 22:24:00 22:31:00

#There are two busses this one above and another with the same path but +25 min offset
