Gleason-Circle Res-Halls Perkins Barnes-n-Noble Province Wegmans
9:50:00 9:55:00 9:58:00 10:03:00 10:06:00 10:32:00
11:17:00 11:22:00 11:25:00 11:30:00 11:33:00 11:59:00
12:44:00 12:49:00 12:52:00 12:57:00 13:00:00 13:26:00 
14:11:00 14:16:00 14:19:00 14:24:00 14:27:00 14:53:00 
3:38:00 15:43:00 15:46:00 15:51:00 15:54:00 16:20:00 
5:05:00 17:10:00 17:13:00 17:18:00 17:21:00 17:47:00 
6:32:00 18:37:00 18:40:00 18:45:00 18:48:00 19:14:00 
7:59:00 20:04:00 20:07:00 20:12:00 20:15:00 20:41:00 
9:26:00 21:31:00 21:34:00 21:39:00 21:42:00 22:08:00
22:53:00
